Skip,Rederi,Location,Type skip,Type opplag,Bilde,Flagg,Dato inn,Dato ut,Rederi Valgbokser,Sist oppdatert
Ocean Surf,Atlantic Offshore,,PSV,Solgt fra opplag,http://www.maritime.no/wp-content/uploads/2015/05/Ocean-Surf1.jpg,NIS,2015-03-11,,Atlantic Offshore,
Sigma,Maritim Management,"59.34155, 5.283802",Seismikk,Ut av opplag,http://www.maritime.no/wp-content/uploads/2015/05/Sigma.jpg,NIS,2015-09-16,,Maritim Management,
Viking II,Eidesvik,,Seismikk,Solgt fra opplag,http://www.maritime.no/wp-content/uploads/2015/05/Eidesvik-Viking-2.jpg,NIS,2014-10-15,2015-08-12,Eidesvik,
Artemis Atlantic (6 mnd oppdrag fra 20/11),Maritim Management,"59.34151, 5.283667",Seismikk,Ut av opplag,http://www.maritime.no/wp-content/uploads/2015/05/MM-atlantic.jpg,NIS,2015-05-06,,Maritim Management,
Artemis Angler,Maritim Management,"59.34261, 5.280083",Seismikk,I opplag,http://www.maritime.no/wp-content/uploads/2015/05/Artemis-Angler.jpg,NIS,2014-10-15,,Maritim Management,
Bourbon Opale,Bourbon Offshore,"26.52285, -78.76631",PSV,I opplag,http://www.maritime.no/wp-content/uploads/2015/05/Bourbon-Opale.jpg,Bahamas,2015-05-01,,Bourbon,
Normand Vester,Solstad,"59.33818, 5.296773",PSV,I opplag,http://www.maritime.no/wp-content/uploads/2015/05/Normand-Vester.jpg,NIS,2015-06-28,,Solstad,
World Diamond,World Wide Supply,"62.46961, 6.119262",PSV,I opplag,http://www.maritime.no/wp-content/uploads/2015/05/wws2.jpg,NIS,2015-09-01,,World Wide Supply,
World Pearl,World Wide Supply,"62.46989, 6.119992",PSV,I opplag,http://www.maritime.no/wp-content/uploads/2015/05/wws3.jpg,NIS,2015-09-02,,World Wide Supply,
Falcon Explorer,PGS,"58.11797, 7.04529",Seismikk,Skrapet fra opplag,http://www.maritime.no/wp-content/uploads/2015/05/FALCON-EXPLORER.jpg,Panama,2015-05-06,2016-05-11,PGS,2016-05-18
Ocean Explorer,PGS,"58.11934, 7.045667",Seismikk,Skrapet fra opplag,http://www.maritime.no/wp-content/uploads/2015/05/Ocean-Explorer.jpg,Bahamas,2015-05-26,,PGS,
Troms Mira,Troms Offshore,"55.98197, -3.186232",PSV,I opplag,http://www.maritime.no/wp-content/uploads/2015/05/Troms-Mira.jpg,Isle of Man,2015-06-03,,Troms offshore,
Vestland Cygnus,Vestland Offshore,,PSV,Ut av opplag,http://www.maritime.no/wp-content/uploads/2015/05/Cygnus-2.jpg,Bahamas,2015-06-10,2015-07-25,Vestland Offshore,
